MolecularWeight,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,molecule_chembl_id,canonical_smiles,log_standard_value
438.3980000000002,1.87628,2,9,144.10000000000002,5,CHEMBL4848839,CCN(CC)C(=O)CCc1ccc(OCc2ccccc2)c(OC)c1,4.543211018740005
593.6730000000002,6.473600000000006,0,10,115.55000000000004,12,CHEMBL4870117,Cc1oc(/C=C/c2ccc(OCCCN3CCCC3)cc2)cc(=O)c1O,3.8457799671118895
440.8740000000002,2.48042,1,10,100.26,4,CHEMBL5286183,Cc1ccc(NCC[C@@H]2CCCN3CCCC[C@H]23)c2c(=O)c3ccccc3sc12,2.924795995797912
471.27700000000016,4.020000000000002,2,5,89.6,3,CHEMBL4877193,CCN(CC)C(=O)C1CN(C(=O)/C=C/c2ccc(OCc3ccccc3)c(OC)c2)C1,4.106564834846764
499.68600000000026,8.50716,0,7,61.74,4,CHEMBL2436703,O=c1cc(-c2ccccc2)oc2cc(OCCCN3CCN(CCCNc4c5c(nc6ccccc46)CCCC5)CC3)cc(O)c12,3.81298016603948
284.75,3.477500000000002,2,4,63.83,3,CHEMBL3740346,CC1=NN(c2ccc(C(F)(F)F)cc2)C(=O)C1,4.698978690138799
364.4530000000001,2.1042999999999994,2,5,77.15,6,CHEMBL140,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,3.7324741772811936
400.8430000000001,3.0439000000000025,2,7,84.06,3,CHEMBL573,O=C(O)c1cccnc1,4.6404913749455465
388.4270000000001,2.947520000000001,3,5,100.01,5,CHEMBL2402163,CN(C)c1ccc(/C=C/c2ccc(NCc3cc(N(C)C)ccc3O)cc2)cc1,4.027797943
454.5260000000001,5.700600000000007,2,6,76.74,8,CHEMBL5396832,CC(C)[C@H](Nc1c(NC[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)c(=O)c1=O)C(=O)O,3.887110703124884
284.2710000000001,2.5661,5,5,109.6,2,CHEMBL116438,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,4.041432164680265
478.1270000000004,6.3993000000000055,2,5,54.02,10,CHEMBL181529,COc1cc(/C=C/c2cc(/C=C/c3ccc(O)c(OC)c3)on2)ccc1O,2.143014800254095
536.7170000000003,5.000000000000004,3,5,113.76,13,CHEMBL427548,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(F)cc4)c(F)c3)c(F)c2)CC1,4.762686064430917
